date,average_trip_duration
2020-01-21,699.671293618662
2020-03-13,1153.971315529179
2020-03-07,1553.8132179621066
2020-02-15,1125.8241042345278
2020-02-04,737.1603375527426
2020-02-12,759.9379198046
2020-01-17,851.045101088647
2020-01-25,1873.976273148148
2020-03-09,825.0104328523862
2020-03-10,845.0334738724927
2020-03-11,858.4203905123837
2020-02-11,1683.7382571075402
2020-02-25,699.8297232250301
2020-03-29,1514.8179329226557
2020-02-09,4393.483764446891
2020-03-21,1904.2431796801504
2020-02-23,2209.926593689633
2020-02-21,1044.1321473951716
2020-01-10,1553.1348077935756
2020-03-03,764.6853248965685
2020-02-27,693.531381486676
2020-01-24,1063.3762646978398
2020-02-19,757.429144851658
2020-03-05,887.0632482766961
2020-03-06,827.5578364288042
2020-03-25,2351.5467932571205
2020-01-04,1818.680577345466
2020-02-01,2972.187578027466
2020-03-02,1508.1634073185362
2020-01-11,876.2549222797927
2020-01-13,701.1504467912266
2020-01-28,852.3758238466147
2020-01-22,1002.1196953210011
2020-03-22,2352.528387585163
2020-01-03,761.3027164685908
2020-01-07,773.2014526517747
2020-02-08,2435.9311515899967
2020-01-05,1823.020428336079
2020-03-08,2154.3486123545213
2020-03-30,1148.5376676986584
2020-01-06,1096.583910646119
2020-02-20,678.7964511523556
2020-02-22,3001.008615948671
2020-03-17,1241.6593906321054
2020-02-10,1211.8266434892541
2020-03-27,6337.606711409396
2020-02-05,691.9033699497301
2020-02-24,677.2595567455005
2020-01-27,720.2937915742793
2020-02-06,1590.1967970434248
2020-03-12,1049.8360282668582
2020-01-30,713.4560523114355
2020-03-19,1904.7092907092906
2020-01-12,863.8204983012457
2020-03-16,958.0143408714837
2020-01-19,1492.2145251396648
2020-03-01,2157.1516255227302
2020-02-18,1183.7071622846781
2020-02-29,1188.1022821006325
2020-03-15,2004.7420132610007
2020-03-26,2649.1856971153848
2020-01-23,2265.679490727927
2020-03-31,2923.342786683107
2020-01-16,683.7053685168335
2020-01-02,1242.7352986572002
2020-03-20,1306.9751179751179
2020-01-09,2173.016607877719
2020-01-31,870.5945099484156
2020-02-16,1421.00614334471
2020-03-23,1586.2451678535097
2020-03-28,1495.4407484407484
2020-01-15,1570.9786528198472
2020-01-26,3205.508654602675
2020-01-20,2666.9730559345157
2020-02-17,743.3334257975034
2020-02-13,1048.2599670510708
2020-01-18,1119.60780669145
2020-02-14,880.2886735716672
2020-02-28,2802.6406133133883
2020-01-01,1694.8206445586175
2020-03-04,819.2036684135303
2020-02-02,3927.091194388038
2020-02-26,723.1738495252009
2020-03-14,1718.7824773413897
2020-03-24,1722.5026737967914
2020-01-14,842.1773029574076
2020-01-08,663.4854101670031
2020-02-03,727.5528991481176
2020-03-18,1070.4488151658768
2020-01-29,806.609759876065
2020-02-07,831.8854583571565
